AGEGROUP,REP,DEM,LIB,UNA,CST,GRE
10,34225,34068,967,52192,126,171
20,155308,167008,6455,224132,426,531
30,182829,196116,5987,230556,506,373
40,229099,216127,3696,233106,377,218
50,318301,263476,2217,223222,290,156
60,295861,296476,1291,194945,140,98
70,201544,202739,499,132153,62,28
80,71788,77319,98,37646,15,6
90,10800,14749,5,5012,0,1
100+,410,699,0,138,0,0
