RACE,REP,DEM,LIB,UNA,CST,GRE
WHITE,1366110,722620,15383,1000246,1082,870
BLACK,14152,586552,1185,104996,170,183
ASIAN,9070,17279,199,28046,43,20
INDIAN AMERICAN or ALASKA NATIVE,3651,5298,86,4808,8,7
UNDESIGNATED,87701,91062,3488,148289,563,428
TWO or MORE RACES,3033,9702,213,8950,11,25
OTHER,16367,36195,658,37703,65,49
NATIVE HAWAIIAN or PACIFIC ISLANDER,80,69,3,64,0,0
